period,product,price,log_price,normalized_price
2013-02-01,WTI Crude Oil,95.31,4.557134736949535,0.869930648880919
2013-01-01,WTI Crude Oil,94.76,4.5513473792905845,0.8677154116547011
2013-01-01,UK Brent Crude Oil,112.96,4.727033773744932,0.9349632066019106
2012-12-01,UK Brent Crude Oil,109.49,4.6958332208853335,0.9230205152656896
2012-12-01,WTI Crude Oil,87.86,4.475744638547633,0.8387768155686499
2012-11-01,UK Brent Crude Oil,109.06,4.691898189497915,0.9215142962743226
2012-11-01,WTI Crude Oil,86.53,4.460491174618648,0.832938219940816
2012-10-01,WTI Crude Oil,89.49,4.494126887194767,0.8458130217104539
2012-10-01,UK Brent Crude Oil,111.71,4.715906227582757,0.9307038958857696
2012-09-01,UK Brent Crude Oil,112.86,4.726148112540994,0.9346242004812595
2012-09-01,WTI Crude Oil,94.51,4.548705649006965,0.8667042318364206
2012-08-01,UK Brent Crude Oil,113.36,4.730568595382425,0.9363162365926015
2012-08-01,WTI Crude Oil,94.13,4.544676805559129,0.8651621042351574
2012-07-01,UK Brent Crude Oil,102.62,4.631032845513819,0.8982167598637985
2012-07-01,WTI Crude Oil,87.9,4.476199804691132,0.8389510403262356
2012-06-01,WTI Crude Oil,82.3,4.410371107683024,0.813753672415122
2012-06-01,UK Brent Crude Oil,95.16,4.555559685434757,0.86932776359987
2012-05-01,UK Brent Crude Oil,110.34,4.703566507844284,0.9259805993251219
2012-05-01,WTI Crude Oil,94.66,4.5502915244781015,0.8673112602225745
2012-04-01,UK Brent Crude Oil,119.75,4.785406236291025,0.9573065383326063
2012-04-01,WTI Crude Oil,103.32,4.6378309682276395,0.9008188894350997
2012-03-01,WTI Crude Oil,106.16,4.664947390023952,0.9111982906307589
2012-03-01,UK Brent Crude Oil,125.45,4.8319072728124315,0.9751058231237619
2012-02-01,UK Brent Crude Oil,119.33,4.781892764381564,0.9559616804154407
2012-02-01,WTI Crude Oil,102.2,4.626931677769604,0.8966469485624529
2012-01-01,WTI Crude Oil,100.27,4.607866547535834,0.8893493546162378
2012-01-01,UK Brent Crude Oil,110.69,4.706733501397532,0.9271928351031365
2011-12-01,UK Brent Crude Oil,107.87,4.680926798387338,0.9173147573061444
2011-12-01,WTI Crude Oil,98.56,4.59066549978521,0.8827652788509872
2011-11-01,UK Brent Crude Oil,110.77,4.7074559795288415,0.9274693793476639
2011-11-01,WTI Crude Oil,97.16,4.576359104133972,0.8772891942391072
2011-10-01,WTI Crude Oil,86.32,4.458061320949879,0.8320081405127727
2011-10-01,UK Brent Crude Oil,109.55,4.696381066041475,0.9232302149344513
2011-09-01,WTI Crude Oil,85.52,4.4487502667167895,0.8284441316562311
2011-09-01,UK Brent Crude Oil,112.83,4.725882261150355,0.9345224400697056
2011-08-01,UK Brent Crude Oil,110.22,4.70247836845509,0.9255640902679134
2011-08-01,WTI Crude Oil,86.33,4.4581771622474315,0.832052481293107
2011-07-01,UK Brent Crude Oil,116.97,4.761917491662616,0.9483157096048354
2011-07-01,WTI Crude Oil,97.3,4.577798989191959,0.8778403416141093
2011-06-01,UK Brent Crude Oil,113.83,4.734706107337125,0.9378999594322982
2011-06-01,WTI Crude Oil,96.26,4.567052863874963,0.8737270280360214
2011-05-01,WTI Crude Oil,100.9,4.6141299273595635,0.8917467996965516
2011-05-01,UK Brent Crude Oil,114.99,4.744845168060573,0.9417809058118137
2011-04-01,WTI Crude Oil,109.53,4.696198484335655,0.923160327808859
2011-04-01,UK Brent Crude Oil,123.26,4.814295945534097,0.9683647039310096
2011-03-01,UK Brent Crude Oil,114.64,4.741796783519916,0.9406140702173613
2011-03-01,WTI Crude Oil,102.86,4.63336884034677,0.8991109127776419
2011-02-01,UK Brent Crude Oil,103.72,4.641694960670463,0.9022979167227825
2011-02-01,WTI Crude Oil,88.58,4.483906098495052,0.8419007921675125
2011-01-01,UK Brent Crude Oil,96.52,4.569750240756831,0.8747595078020876
2011-01-01,WTI Crude Oil,89.17,4.490544660146788,0.8444418462661343
2010-12-01,WTI Crude Oil,89.15,4.49032034430915,0.8443559844923769
2010-12-01,UK Brent Crude Oil,91.45,4.515792374836875,0.8541059591055938
2010-11-01,UK Brent Crude Oil,85.28,4.445939960417534,0.8273684256954017
2010-11-01,WTI Crude Oil,84.25,4.433788569232471,0.8227172159914606
2010-10-01,UK Brent Crude Oil,82.67,4.414856779264584,0.8154706609369375
2010-10-01,WTI Crude Oil,81.89,4.405376883282097,0.8118420242224603
2010-09-01,WTI Crude Oil,75.24,4.32068300443283,0.7794235969684405
2010-09-01,UK Brent Crude Oil,77.84,4.354655437877749,0.7924272859863475
2010-08-01,UK Brent Crude Oil,77.04,4.34432476748987,0.7884729968333998
2010-08-01,WTI Crude Oil,76.6,4.338597076746545,0.7862805984190295
2010-07-01,UK Brent Crude Oil,75.58,4.325191697921343,0.7811493976266932
2010-07-01,WTI Crude Oil,76.32,4.334935027140031,0.7848788691514319
2010-06-01,UK Brent Crude Oil,74.76,4.314282982587362,0.7769738491774497
2010-06-01,WTI Crude Oil,75.34,4.322011202263895,0.7799319936241418
2010-05-01,WTI Crude Oil,73.74,4.300545392805998,0.7717154874041587
2010-05-01,UK Brent Crude Oil,75.95,4.330075229041782,0.7830186755547056
2010-04-01,WTI Crude Oil,84.29,4.434263234009391,0.8228989042757819
2010-04-01,UK Brent Crude Oil,84.82,4.4405313640464446,0.8252981676037328
2010-03-01,UK Brent Crude Oil,78.83,4.367293635071817,0.7972648312956963
2010-03-01,WTI Crude Oil,81.2,4.396915247167632,0.8086031486560813
